foreign_key_name	parent_schema_name	parent_table_name	parent_columns	referenced_schema_name	referenced_table_name	referenced_columns	update_referential_action_desc	delete_referential_action_desc	is_disabled	is_not_trusted
SXAEDPreArrivalPlaceHolderSXAFBFormVersionFK	dbo	SXAEDPreArrivalPlaceholder	FormVersionID	dbo	SXAFBFormVersion	FormVersionID	NO_ACTION	NO_ACTION	0	0
Disabled_SXAEDPreArrivalPlaceHolderAuditCV3GenderFK	dbo	SXAEDPreArrivalPlaceholderAudit	GenderGUID	dbo	CV3Gender	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_SXAEDPreArrivalPlaceHolderAuditCV3UserFK	dbo	SXAEDPreArrivalPlaceholderAudit	UserGUID	dbo	CV3User	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_SXAEDPreArrivalPlaceHolderAuditSXAEDLocationFK	dbo	SXAEDPreArrivalPlaceholderAudit	LocationGUID	dbo	SXAEDLocation	LocationGUID	NO_ACTION	NO_ACTION	1	1
Disabled_SXAEDPreArrivalPlaceHolderAuditSXAEDPreArrivalDeptSourceSettingFK	dbo	SXAEDPreArrivalPlaceholderAudit	SourceID	dbo	SXAEDPreArrivalDeptSourceSetting	DeptSourceID	NO_ACTION	NO_ACTION	1	1
Disabled_SXAEDPreArrivalPlaceHolderAuditSXAFBFormVersionFK	dbo	SXAEDPreArrivalPlaceholderAudit	FormVersionID	dbo	SXAFBFormVersion	FormVersionID	NO_ACTION	NO_ACTION	1	1
SXAEDPreArrivalPlaceHolderAuditSXAPreArrrivalPlaceHolderFK	dbo	SXAEDPreArrivalPlaceholderAudit	PlaceHolderID	dbo	SXAEDPreArrivalPlaceholder	PlaceholderID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalPlaceholderProviderXrefCV3UserFK	dbo	SXAEDPreArrivalPlaceholderProviderXref	ProviderGUID	dbo	CV3User	GUID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalPlaceholderProviderXrefSXAEDColumnFK	dbo	SXAEDPreArrivalPlaceholderProviderXref	ColumnID	dbo	SXAEDColumn	ColumnID	NO_ACTION	NO_ACTION	0	0
SXAEDPreArrivalPlaceholderProviderXrefSXAEDPreArrivalPlaceholderFK	dbo	SXAEDPreArrivalPlaceholderProviderXref	PlaceholderID	dbo	SXAEDPreArrivalPlaceholder	PlaceholderID	NO_ACTION	NO_ACTION	0	0
