schema_name	routine_name	routine_type	parameter_id	parameter_name	data_type	character_or_binary_length	precision	scale	is_output	has_default_value	default_value
dbo	SXACDAntimicrobialIsolateReportStatusUpdPr	SQL_STORED_PROCEDURE	4	@ReportStatusType	int	NULL	10	0	0	0	NULL
dbo	SXACDAntimicrobialIsolateReportStatusUpdPr	SQL_STORED_PROCEDURE	5	@RejectedReasonType	int	NULL	10	0	0	0	NULL
dbo	SXACDAntimicrobialIsolateReportStatusUpdPr	SQL_STORED_PROCEDURE	6	@TouchedBy	varchar	50	0	0	0	0	NULL
dbo	SXACDBulkLoadDiscrListToDBPr	SQL_STORED_PROCEDURE	1	@BulkLoadID	int	NULL	10	0	0	0	NULL
dbo	SXACDBulkLoadDiscrListToDBPr	SQL_STORED_PROCEDURE	2	@Modify	bit	NULL	1	0	0	0	NULL
dbo	SXACDBulkLoadValidateDiscrListRepositoryPr	SQL_STORED_PROCEDURE	1	@BulkLoadID	int	NULL	10	0	0	0	NULL
dbo	SXACDBulkUnloadDiscriminateListValueXrefSelPr	SQL_STORED_PROCEDURE	1	@ActiveOnly	bit	NULL	1	0	0	0	NULL
dbo	SXACDBulkUnloadDiscriminateListValueXrefSelPr	SQL_STORED_PROCEDURE	2	@ListXrefGUID	numeric	NULL	16	0	0	0	NULL
dbo	SXACDBulkUnloadDiscriminateListXrefSelPr	SQL_STORED_PROCEDURE	1	@Active	bit	NULL	1	0	0	0	NULL
dbo	SXACDBulkUnloadDiscriminateListXrefSelPr	SQL_STORED_PROCEDURE	2	@StartDate	datetime	NULL	23	3	0	0	NULL
dbo	SXACDBulkUnloadDiscriminateListXrefSelPr	SQL_STORED_PROCEDURE	3	@ObsSetItemGUID	numeric	NULL	16	0	0	0	NULL
dbo	SXACDBulkUnloadDiscriminateListXrefSelPr	SQL_STORED_PROCEDURE	4	@IsSelective	bit	NULL	1	0	0	0	NULL
dbo	SXACDCareProviderSearchSelPr	SQL_STORED_PROCEDURE	1	@UserGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDCareProviderSearchSelPr	SQL_STORED_PROCEDURE	2	@ClientDocGUIDs	varchar	-1	0	0	0	0	NULL
dbo	SXACDCareProviderSearchSelPr	SQL_STORED_PROCEDURE	3	@ActiveOnly	bit	NULL	1	0	0	0	NULL
dbo	SXACDCareProviderSearchSelPr	SQL_STORED_PROCEDURE	4	@SearchTextTbl	SXAGNStringDtTbl	NULL	0	0	0	0	NULL
dbo	SXACDCareProviderSearchSelPr	SQL_STORED_PROCEDURE	5	@FilterByDisplayName	bit	NULL	1	0	0	0	NULL
dbo	SXACDCareProviderSearchSelPr	SQL_STORED_PROCEDURE	6	@FilterByOccupationCode	bit	NULL	1	0	0	0	NULL
dbo	SXACDCareProviderSearchSelPr	SQL_STORED_PROCEDURE	7	@FilterByRole	bit	NULL	1	0	0	0	NULL
dbo	SXACDCareProviderSearchSelPr	SQL_STORED_PROCEDURE	8	@FilterByProviderID	bit	NULL	1	0	0	0	NULL
dbo	SXACDCareProviderSearchSelPr	SQL_STORED_PROCEDURE	9	@FilterByProviderGUID	bit	NULL	1	0	0	0	NULL
dbo	SXACDCareProviderSearchSelPr	SQL_STORED_PROCEDURE	10	@ProviderSearch	bit	NULL	1	0	0	0	NULL
dbo	SXACDCedSectionsCategoriesGetPr	SQL_STORED_PROCEDURE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
dbo	SXACDCEDValidationResultInsPr	SQL_STORED_PROCEDURE	1	@CreatedBy	varchar	50	0	0	0	0	NULL
dbo	SXACDCEDValidationResultInsPr	SQL_STORED_PROCEDURE	2	@ClientDocumentGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDCEDValidationResultInsPr	SQL_STORED_PROCEDURE	3	@Result	varchar	-1	0	0	0	0	NULL
dbo	SXACDCEDValidationResultInsPr	SQL_STORED_PROCEDURE	4	@IsFailed	bit	NULL	1	0	0	0	NULL
dbo	SXACDCEDValidationResultPurgePr	SQL_STORED_PROCEDURE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
dbo	SXACDCEDValidationResultSelPr	SQL_STORED_PROCEDURE	1	@ClientDocumentGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDCEDValidationResultUpdPr	SQL_STORED_PROCEDURE	1	@TouchedBy	varchar	50	0	0	0	0	NULL
dbo	SXACDCEDValidationResultUpdPr	SQL_STORED_PROCEDURE	2	@ClientDocumentGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDCEDValidationResultUpdPr	SQL_STORED_PROCEDURE	3	@Result	varchar	-1	0	0	0	0	NULL
dbo	SXACDCEDValidationResultUpdPr	SQL_STORED_PROCEDURE	4	@IsFailed	bit	NULL	1	0	0	0	NULL
dbo	SXACDChangeStateUpdPr	SQL_STORED_PROCEDURE	1	@GUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDChangeStateUpdPr	SQL_STORED_PROCEDURE	2	@ListType	int	NULL	10	0	0	0	NULL
dbo	SXACDChangeStateUpdPr	SQL_STORED_PROCEDURE	3	@State	bit	NULL	1	0	0	0	NULL
dbo	SXACDChangeStateUpdPr	SQL_STORED_PROCEDURE	4	@ListMSrepl_tran_version	uniqueidentifier	NULL	0	0	0	0	NULL
dbo	SXACDChangeStateUpdPr	SQL_STORED_PROCEDURE	5	@TouchedBy	varchar	50	0	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelDataSelPr	SQL_STORED_PROCEDURE	1	@ClientDocumentGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	1	@GUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	2	@ClientDocumentGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	3	@UserName	varchar	50	0	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	4	@FormID	int	NULL	10	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	5	@FormVersionID	int	NULL	10	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	6	@InternalTabID	int	NULL	10	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	7	@InternalFormElementID	int	NULL	10	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	8	@ReusableInternalFormPartID	int	NULL	10	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	9	@TabSequence	numeric	NULL	11	5	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	10	@DecorativeLabelName	varchar	1000	0	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	11	@IsBold	bit	NULL	1	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	12	@IsUnderlined	bit	NULL	1	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	13	@AppendColon	bit	NULL	1	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	14	@Active	bit	NULL	1	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	15	@ClientVisitGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDChartedFormDecorativeLabelInsUpdPR	SQL_STORED_PROCEDURE	16	@MSrepl_tran_version	uniqueidentifier	NULL	0	0	0	0	NULL
dbo	SXACDCheckCancelledOrderPr	SQL_STORED_PROCEDURE	1	@ClientVisitGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDCheckeICRTriggerStatusPr	SQL_STORED_PROCEDURE	1	@SourceID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDCheckHealthIssueCancelledrPr	SQL_STORED_PROCEDURE	1	@ClientVisitGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDCheckPosOrSeqIssuesSelPr	SQL_STORED_PROCEDURE	1	@GUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDChildDiscriminationUpdPr	SQL_STORED_PROCEDURE	1	@Site	smallint	NULL	5	0	0	0	NULL
dbo	SXACDChildDiscriminationUpdPr	SQL_STORED_PROCEDURE	2	@Build	int	NULL	10	0	0	0	NULL
dbo	SXACDChildDiscriminationUpdPr	SQL_STORED_PROCEDURE	3	@TouchedBy	varchar	50	0	0	0	0	NULL
dbo	SXACDChildDiscriminationUpdPr	SQL_STORED_PROCEDURE	4	@DiscListValueGUID	decimal	NULL	18	0	0	0	NULL
dbo	SXACDClientChartDocumentInfoGetPr	SQL_STORED_PROCEDURE	1	@ChartGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	1	@UserName	varchar	50	0	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	2	@UserGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	3	@VisitGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	4	@ClientGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	5	@ClientDocumentGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	6	@ArcType	int	NULL	10	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	7	@UpdatedClientDocumentMSrepl_tran_version	uniqueidentifier	NULL	0	0	1	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	8	@ClientDocDetailGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	9	@ClientDocHistoryGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	10	@ClientDocHistXrefGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	11	@NextHistoryCounter	int	NULL	10	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	12	@ServiceVisitDtm	datetimeoffset	NULL	30	3	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	13	@SignatureStatusType	tinyint	NULL	3	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	14	@DocumentStatusType	tinyint	NULL	3	0	0	0	NULL
dbo	SXACDClientDocAutoForwardHistoryUpdPR	SQL_STORED_PROCEDURE	15	@ForwardDocHistoryGUID	HVCIDdt	NULL	16	0	1	0	NULL
dbo	SXACDClientDocCCDXRefStatusTypeSelPr	SQL_STORED_PROCEDURE	1	@ClientDocumentGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDClientDocCCDXRefUpdPr	SQL_STORED_PROCEDURE	1	@DocContinuityOfCareID	bigint	NULL	19	0	0	0	NULL
dbo	SXACDClientDocCCDXRefUpdPr	SQL_STORED_PROCEDURE	2	@StatusType	int	NULL	10	0	0	0	NULL
dbo	SXACDClientDocCCDXRefUpdPr	SQL_STORED_PROCEDURE	3	@TouchedBy	varchar	100	0	0	0	0	NULL
dbo	SXACDClientDocDetailHistTextExtendedGetPr	SQL_STORED_PROCEDURE	1	@ClientDocGUIDs	nvarchar	NULL	0	0	0	0	NULL
dbo	SXACDClientDocDetailHistTextExtendedGetPr	SQL_STORED_PROCEDURE	2	@IncludeHistory	tinyint	NULL	3	0	0	0	NULL
dbo	SXACDClientDocDetailHistTextGetPr	SQL_STORED_PROCEDURE	1	@ClientDocGUIDs	nvarchar	NULL	0	0	0	0	NULL
dbo	SXACDClientDocDetailHistTextGetPr	SQL_STORED_PROCEDURE	2	@IncludeHistory	tinyint	NULL	3	0	0	0	NULL
dbo	SXACDClientDocDetailTextARCMoveBlobPR	SQL_STORED_PROCEDURE	1	@Storename	varchar	50	0	0	0	0	NULL
dbo	SXACDClientDocDetailTextARCMoveBlobPR	SQL_STORED_PROCEDURE	2	@Count	bigint	NULL	19	0	0	0	NULL
dbo	SXACDClientDocDetailTextARCMoveBlobPR	SQL_STORED_PROCEDURE	3	@BatchSize	int	NULL	10	0	0	0	NULL
dbo	SXACDClientDocDetailTextARCMoveBlobPR	SQL_STORED_PROCEDURE	4	@UpgradeID	int	NULL	10	0	0	0	NULL
dbo	SXACDClientDocDetailTextARCMoveBlobPR	SQL_STORED_PROCEDURE	5	@NumberOfMinutesJobRun	int	NULL	10	0	0	0	NULL
dbo	SXACDClientDocDetailTextExtendedGetPr	SQL_STORED_PROCEDURE	1	@ClientDocDetailGUIDs	nvarchar	NULL	0	0	0	0	NULL
dbo	SXACDClientDocDetailTextGetPr	SQL_STORED_PROCEDURE	1	@ClientDocDetailGUIDs	nvarchar	NULL	0	0	0	0	NULL
dbo	SXACDClientDocDetailTextInsPr	SQL_STORED_PROCEDURE	1	@UserName	varchar	50	0	0	0	0	NULL
dbo	SXACDClientDocDetailTextInsPr	SQL_STORED_PROCEDURE	2	@ClientDocDetailGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDClientDocDetailTextInsPr	SQL_STORED_PROCEDURE	3	@DetailText	varbinary	-1	0	0	0	0	NULL
dbo	SXACDClientDocDetailTextInsPr	SQL_STORED_PROCEDURE	4	@ArcType	int	NULL	10	0	0	0	NULL
dbo	SXACDClientDocDetailTextInsPr_POHPr	SQL_STORED_PROCEDURE	1	@UserName	varchar	50	0	0	0	0	NULL
dbo	SXACDClientDocDetailTextInsPr_POHPr	SQL_STORED_PROCEDURE	2	@ClientDocDetailGUID	HVCIDdt	NULL	16	0	0	0	NULL
dbo	SXACDClientDocDetailTextInsPr_POHPr	SQL_STORED_PROCEDURE	3	@DetailText	varbinary	-1	0	0	0	0	NULL
dbo	SXACDClientDocDetailTextInsPr_POHPr	SQL_STORED_PROCEDURE	4	@ArcType	int	NULL	10	0	0	0	NULL
dbo	SXACDClientDocDraftByIDGetPr	SQL_STORED_PROCEDURE	1	@DocDraftID	int	NULL	10	0	0	0	NULL
dbo	SXACDClientDocDraftDelPr	SQL_STORED_PROCEDURE	1	@DocumentDraftID	int	NULL	10	0	0	0	NULL
